id,city,description,homeType,latitude,longitude,garageSpaces,hasSpa,yearBuilt,numOfPatioAndPorchFeatures,lotSizeSqFt,avgSchoolRating,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,priceRange
0,austin,"7300 Annette Cv, Austin, TX 78724 is a single family home that contains 1,419 sq ft and was built in 2007. It contains 2 bedrooms and 3 bathrooms. 
 
",Single Family,30.28529358,-97.64630127,1,FALSE,2007,0,6795,3.666666667,11,3,2,250000-350000
2,austin,"Extravagant and luxurious 5 bedroom, 4.5 bath property in the beautiful Tarrytown neighborhood. The high-ceilinged main level is window-lined throughout with a clear view of the impressive fenced-in backyard space. In the kitchen custom designed by a French chef, there’s an abundance of drawer space for easy access to all cooking tools. The spacious living area includes a gas fireplace plus indoor/outdoor surround sound speakers. Upstairs the master bedroom has a unique spare space for use as either an office or large spare closet. Each bedroom has soundproof walls between – a perfect floor plan for large families. Use the 5th bedroom as a guest space or even a multi-purpose room. The massive outdoor patio has a fully functioning kitchen, includes an entrance to an indoor half bath, and overlooks the tech-enhanced heated pool. Pool includes a motorized cover that prevents children from entering when unattended – plus, easy maintenance as it keeps out rain and leaves.",Single Family,30.29841232,-97.77605438,2,TRUE,2015,0,8276,7,16,5,5,650000+
3,austin,"HIGH RENTABLE AREA! Beautifully kept duplex located minutes away from great restaurants, shopping, and easy access to I-35 and HWY 183! Each unit features 3 bed 2 bath with an amazing floor plan!",Multiple Occupancy,30.32739639,-97.69390106,1,FALSE,1967,0,8886,3.333333333,15,4,6,0-250000
4,austin,"Great house in the heart of downtown East Austin. Completely remodeled single family home sitting on the back lot 1902 Garden Street just off Chicon. Updated kitchen with stainless appliances, granite counter top, bamboo and vinyl plank flooring. 9 blocks from downtown 5 blocks from Lady Bird Lake. Access through rear on publicly maintained alley with both walking gate and sliding gate to parking area. In the middle of one of the hottest areas on the East side",Single Family,30.25435638,-97.72548676,0,FALSE,1920,0,2178,4,11,1,1,250000-350000
5,austin,"FOR SALE BY OWNER AND FULLY RENOVATED: Wake up each morning to serene canyon, greenbelt views from this completely remodeled home on a large lot in coveted River Place. With no home behind the house, it's very quiet. Walk to Woodlands Park and tennis facilities on Lake Austin, hiking via the River Place Nature Trail and River Place Country Club. H-E-B grocery shopping and restaurants minutes away included Ski Shores on Lake Austin. Home feeds into the award-winning Vandergrift High School in Leander ISD. 

Five bedrooms with the master and one guest room on the first floor. 
Four full bathrooms.  
3,615 sq ft. 
Two living areas plus large office that could also be a third living area. 
Dining room plus eat-in kitchen. 
All-new modern window shades. 
Three-car garage. 
BigAss smart ceiling fans, Ecobee smart thermostats for updated Trane A/C, Philips smart lights and LeGrand switches & nightlights. 
Two large walk-in Texas basements plus attic storage in the house and garage. Two water tanks and two HVAC systems in the attic. 
Fully remodeled 2019-2020. 
Painted inside and outside. 
New roof in 2016. 
Pool, patio and pergola CAD plans included. 

2019 taxes were $16,369. 
HOA is $22 a month. 

We need to move closer to our elderly parents. Our loss is your gain. We just finished this amazing remodel, and the design continues to be featured in national magazines.

If you would like to see this home, call 502-938-4800. It is FOR SALE BY OWNER. Thank you. 

",Single Family,30.36165619,-97.85527802,0,FALSE,1999,0,12196.8,7,16,4,5,650000+
6,austin,"Under market pricing!!!  Owner wants to move it quickly! He is willing to go well under market value for December contract! This 3 bedroom condo is located right off Payton Gin Rd about 1/2 mile from 183. It's part of the well sought after Orange Grove Condominium community.  It is close to MoPac/I 35 and the Domain Shopping area.  Recently upgraded with newer paint, laminate and vinyl flooring.  Recent carpet replaced in the Master Bedroom and the hall/stairs as well.",Condo,30.36236191,-97.7104187,0,FALSE,1974,0,400,4,14,2,3,0-250000
7,austin,Beautiful large home in Steiner Ranch which awaits its new owners. Walk in and let the stress just melt away with your amazing views of the greenbelt and hill country. This bright home is warm and inviting. Wood floors installed Jan 2020. Close to neighborhood park and pool. Two tank-less water heaters.,Single Family,30.37491417,-97.90049744,2,FALSE,1999,2,8842,8.333333333,17,4,5,450000-650000
8,austin,"11612 Murron Dr, Austin, TX 78754 is a single family home that contains 2,638 sq ft and was built in 2013. It contains 4 bedrooms and 3 bathrooms. 
 
",Single Family,30.35559845,-97.61843109,0,FALSE,2013,0,6011,5,11,3,4,0-250000
9,austin,"161 Victoria Ct, Austin, TX 78737 is a single family home that contains 2,508 sq ft and was built in 2003. It contains 4 bedrooms and 3 bathrooms. 
 
",Single Family,30.1993351,-97.98651123,0,FALSE,2003,0,13503.6,6,16,3,4,350000-450000
10,austin,"Stunning two-story home from Urban ATX and Davey McEathron Architecture. Featuring an ultramodern design, angular with tall ceilings and tons of natural light, this home is designed to entertain and impress. The chef's kitchen includes custom walnut cabinetry, Wolf and Sub-Zero appliances, including a 30-inch wine column, and large pantry. Main-floor master suite includes a freestanding soaking tub with a large walk-in shower tucked behind a monolithic Carrara marble privacy wall and a huge walkthrough closet lined with custom walnut cabinetry. A second bedroom with en suite bathroom on the main floor is ideal for use as an office or for a family member who prefers not to climb stairs. The back yard contains a heated pool surrounded by a deck built from exotic Cumuru as well as an outdoor kitchen and a detached pool bath. Located just two blocks from the heart of South Congress and one block from South First Street making it one of the most walkable locations in all of Bouldin.",Single Family,30.24906731,-97.75332642,2,FALSE,2019,2,8102,4.333333333,14,5,4,650000+
